Year,Geography,Type of electricity generation,Value
2015.0,Canada,"Total hydro, tidal, wind, solar and other generation", 63.50 
2016.0,Canada,"Total hydro, tidal, wind, solar and other generation", 64.10 
2017.0,Canada,"Total hydro, tidal, wind, solar and other generation", 65.40 
2018.0,Canada,"Total hydro, tidal, wind, solar and other generation", 65.20 
2019.0,Canada,"Total hydro, tidal, wind, solar and other generation", 64.80 
2015.0,Canada,Hydraulic turbine, 59.10 
2016.0,Canada,Hydraulic turbine, 59.10 
2017.0,Canada,Hydraulic turbine, 60.20 
2018.0,Canada,Hydraulic turbine, 59.70 
2019.0,Canada,Hydraulic turbine, 59.40 
2015.0,Canada,Tidal power turbine, -   
2016.0,Canada,Tidal power turbine, -   
2017.0,Canada,Tidal power turbine, -   
2018.0,Canada,Tidal power turbine, -   
2019.0,Canada,Tidal power turbine, -   
2015.0,Canada,Wind power turbine, 4.20 
2016.0,Canada,Wind power turbine, 4.70 
2017.0,Canada,Wind power turbine, 4.80 
2018.0,Canada,Wind power turbine, 5.10 
2019.0,Canada,Wind power turbine, 5.10 
2015.0,Canada,Solar, 0.20 
2016.0,Canada,Solar, 0.30 
2017.0,Canada,Solar, 0.30 
2018.0,Canada,Solar, 0.30 
2019.0,Canada,Solar, 0.30 
2015.0,Canada,Other types of electricity generation, -   
2016.0,Canada,Other types of electricity generation, -   
2017.0,Canada,Other types of electricity generation, -   
2018.0,Canada,Other types of electricity generation, -   
2019.0,Canada,Other types of electricity generation, -   
2015.0,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation", 95.50 
2016.0,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation", 94.80 
2017.0,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation", 94.40 
2018.0,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation", 96.30 
2019.0,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation", 96.00 
2015.0,Newfoundland and Labrador,Hydraulic turbine, 95.00 
2016.0,Newfoundland and Labrador,Hydraulic turbine, 94.30 
2017.0,Newfoundland and Labrador,Hydraulic turbine, 93.90 
2018.0,Newfoundland and Labrador,Hydraulic turbine, 95.90 
2019.0,Newfoundland and Labrador,Hydraulic turbine, 95.60 
2015.0,Newfoundland and Labrador,Wind power turbine, 0.40 
2016.0,Newfoundland and Labrador,Wind power turbine, 0.50 
2017.0,Newfoundland and Labrador,Wind power turbine, 0.50 
2018.0,Newfoundland and Labrador,Wind power turbine, 0.50 
2019.0,Newfoundland and Labrador,Wind power turbine, 0.40 
2015.0,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation", 98.40 
2016.0,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation", 98.40 
2017.0,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation", 98.50 
2018.0,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation", 98.70 
2019.0,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation", 99.00 
2015.0,Prince Edward Island,Wind power turbine, 98.40 
2016.0,Prince Edward Island,Wind power turbine, 98.40 
2017.0,Prince Edward Island,Wind power turbine, 98.50 
2018.0,Prince Edward Island,Wind power turbine, 98.60 
2019.0,Prince Edward Island,Wind power turbine, 99.00 
2016.0,Prince Edward Island,Solar, -   
2017.0,Prince Edward Island,Solar, -   
2018.0,Prince Edward Island,Solar, 0.10 
2019.0,Prince Edward Island,Solar, 0.10 
2015.0,Nova Scotia,"Total hydro, tidal, wind, solar and other generation", 17.90 
2016.0,Nova Scotia,"Total hydro, tidal, wind, solar and other generation", 18.50 
2017.0,Nova Scotia,"Total hydro, tidal, wind, solar and other generation", 21.50 
2018.0,Nova Scotia,"Total hydro, tidal, wind, solar and other generation", 20.70 
2019.0,Nova Scotia,"Total hydro, tidal, wind, solar and other generation", 21.60 
2015.0,Nova Scotia,Hydraulic turbine, 9.90 
2016.0,Nova Scotia,Hydraulic turbine, 8.20 
2017.0,Nova Scotia,Hydraulic turbine, 8.40 
2018.0,Nova Scotia,Hydraulic turbine, 9.20 
2019.0,Nova Scotia,Hydraulic turbine, 10.60 
2015.0,Nova Scotia,Tidal power turbine, 0.10 
2016.0,Nova Scotia,Tidal power turbine, 0.20 
2017.0,Nova Scotia,Tidal power turbine, 0.10 
2018.0,Nova Scotia,Tidal power turbine, 0.20 
2019.0,Nova Scotia,Tidal power turbine, -   
2015.0,Nova Scotia,Wind power turbine, 7.90 
2016.0,Nova Scotia,Wind power turbine, 10.20 
2017.0,Nova Scotia,Wind power turbine, 13.00 
2018.0,Nova Scotia,Wind power turbine, 11.30 
2019.0,Nova Scotia,Wind power turbine, 10.90 
2015.0,New Brunswick,"Total hydro, tidal, wind, solar and other generation", 24.40 
2016.0,New Brunswick,"Total hydro, tidal, wind, solar and other generation", 26.50 
2017.0,New Brunswick,"Total hydro, tidal, wind, solar and other generation", 25.10 
2018.0,New Brunswick,"Total hydro, tidal, wind, solar and other generation", 24.80 
2019.0,New Brunswick,"Total hydro, tidal, wind, solar and other generation", 29.10 
2015.0,New Brunswick,Hydraulic turbine, 18.80 
2016.0,New Brunswick,Hydraulic turbine, 21.40 
2017.0,New Brunswick,Hydraulic turbine, 19.30 
2018.0,New Brunswick,Hydraulic turbine, 18.70 
2019.0,New Brunswick,Hydraulic turbine, 22.40 
2015.0,New Brunswick,Wind power turbine, 5.70 
2016.0,New Brunswick,Wind power turbine, 5.00 
2017.0,New Brunswick,Wind power turbine, 5.80 
2018.0,New Brunswick,Wind power turbine, 6.10 
