Year,Sexe,Groupe d'âge,Value
2015,Les deux sexes,5 à 17 ans,37.6
2015,Les deux sexes,6 à 17 ans,34.0
2015,Les deux sexes,18 à 79 ans,41.8
2015,Les deux sexes,5 à 11 ans,47.5
2015,Les deux sexes,6 à 11 ans,41.8
2015,Les deux sexes,12 à 17 ans,26.8
2015,Les deux sexes,18 à 39 ans,51.1
2015,Les deux sexes,40 à 59 ans,42.1
2015,Les deux sexes,60 à 79 ans,26.2
2015,Les deux sexes,18 à 64 ans,45.2
2015,Les deux sexes,65 à 79 ans,21.2
2015,Hommes,5 à 17 ans,48.4
2015,Hommes,6 à 17 ans,43.9
2015,Hommes,18 à 79 ans,48.1
2015,Hommes,5 à 11 ans,60.8
2015,Hommes,6 à 11 ans,53.9
2015,Hommes,12 à 17 ans,35.0
2015,Hommes,18 à 39 ans,57.7
2015,Hommes,40 à 59 ans,50.5
2015,Hommes,60 à 79 ans,28.0
2015,Hommes,18 à 64 ans,51.9
2015,Hommes,65 à 79 ans,23.3
2015,Femmes,5 à 17 ans,25.6
2015,Femmes,6 à 17 ans,23.0
2015,Femmes,18 à 79 ans,35.6
2015,Femmes,5 à 11 ans,32.9
2015,Femmes,6 à 11 ans,28.8
2015,Femmes,12 à 17 ans,17.5
2015,Femmes,18 à 39 ans,44.5
2015,Femmes,40 à 59 ans,33.7
2015,Femmes,60 à 79 ans,24.4
2015,Femmes,18 à 64 ans,38.5
2015,Femmes,65 à 79 ans,19.4
2017,Les deux sexes,5 à 17 ans,39.2
2017,Les deux sexes,6 à 17 ans,36.7
2017,Les deux sexes,18 à 79 ans,44.7
2017,Les deux sexes,5 à 11 ans,46.5
2017,Les deux sexes,6 à 11 ans,42.8
2017,Les deux sexes,12 à 17 ans,30.9
2017,Les deux sexes,18 à 39 ans,55.3
2017,Les deux sexes,40 à 59 ans,43.8
2017,Les deux sexes,60 à 79 ans,29.7
2017,Les deux sexes,18 à 64 ans,47.6
2017,Les deux sexes,65 à 79 ans,27.7
2017,Hommes,5 à 17 ans,51.9
2017,Hommes,6 à 17 ans,50.1
2017,Hommes,18 à 79 ans,50.9
2017,Hommes,5 à 11 ans,59.7
2017,Hommes,6 à 11 ans,57.1
2017,Hommes,12 à 17 ans,43.6
2017,Hommes,18 à 39 ans,65.3
2017,Hommes,40 à 59 ans,48.7
2017,Hommes,60 à 79 ans,31.1
2017,Hommes,18 à 64 ans,54.3
2017,Hommes,65 à 79 ans,31.4
2017,Femmes,5 à 17 ans,25.9
2017,Femmes,6 à 17 ans,22.5
2017,Femmes,18 à 79 ans,38.7
2017,Femmes,5 à 11 ans,33.3
2017,Femmes,6 à 11 ans,28.0
2017,Femmes,12 à 17 ans,17.0
2017,Femmes,18 à 39 ans,45.4
2017,Femmes,40 à 59 ans,38.9
2017,Femmes,60 à 79 ans,28.3
2017,Femmes,18 à 64 ans,41.1
2017,Femmes,65 à 79 ans,23.6
2019,Les deux sexes,5 à 17 ans,43.9
2019,Les deux sexes,6 à 17 ans,42.3
2019,Les deux sexes,18 à 79 ans,49.2
2019,Les deux sexes,5 à 11 ans,51.1
2019,Les deux sexes,6 à 11 ans,49.3
2019,Les deux sexes,12 à 17 ans,35.6
2019,Les deux sexes,18 à 39 ans,58.3
2019,Les deux sexes,40 à 59 ans,51.5
2019,Les deux sexes,60 à 79 ans,32.5
2019,Les deux sexes,18 à 64 ans,53.1
2019,Les deux sexes,65 à 79 ans,27.5
2019,Hommes,5 à 17 ans,57.1
2019,Hommes,6 à 17 ans,57.0
2019,Hommes,18 à 79 ans,52.0
2019,Hommes,5 à 11 ans,63.1
2019,Hommes,6 à 11 ans,63.9
2019,Hommes,12 à 17 ans,50.2
2019,Hommes,18 à 39 ans,62.1
2019,Hommes,40 à 59 ans,56.6
2019,Hommes,60 à 79 ans,30.0
2019,Hommes,18 à 64 ans,56.6
2019,Hommes,65 à 79 ans,25.5
2019,Femmes,5 à 17 ans,30.7
2019,Femmes,6 à 17 ans,27.3
2019,Femmes,18 à 79 ans,46.4
2019,Femmes,5 à 11 ans,39.2
2019,Femmes,6 à 11 ans,34.0
2019,Femmes,18 à 39 ans,54.5
2019,Femmes,40 à 59 ans,46.4
2019,Femmes,60 à 79 ans,34.8
2019,Femmes,18 à 64 ans,49.6
2019,Femmes,65 à 79 ans,29.3
2024,Les deux sexes,3 à 79 ans,45.5
2024,Les deux sexes,3 à 17 ans,42.5
2024,Les deux sexes,3 à 4 ans,91.0
2024,Les deux sexes,5 à 11 ans,51.8
2024,Les deux sexes,12 à 17 ans,20.8
2024,Les deux sexes,18 à 79 ans,46.2
2024,Les deux sexes,18 à 64 ans,50.2
2024,Les deux sexes,18 à 39 ans,54.8
2024,Les deux sexes,40 à 64 ans,45.9
2024,Les deux sexes,65 à 79 ans,29.8
2024,Hommes,3 à 79 ans,53.2
2024,Hommes,3 à 17 ans,54.5
2024,Hommes,5 à 11 ans,66.0
2024,Hommes,12 à 17 ans,32.8
2024,Hommes,18 à 79 ans,52.9
2024,Hommes,18 à 64 ans,57.8
2024,Hommes,18 à 39 ans,64.5
2024,Hommes,40 à 64 ans,50.7
2024,Hommes,65 à 79 ans,32.6
2024,Femmes,3 à 79 ans,37.5
2024,Femmes,3 à 17 ans,30.0
2024,Femmes,5 à 11 ans,36.6
2024,Femmes,12 à 17 ans,8.4
2024,Femmes,18 à 79 ans,39.1
2024,Femmes,18 à 64 ans,42.2
2024,Femmes,18 à 39 ans,43.2
2024,Femmes,40 à 64 ans,41.4
2024,Femmes,65 à 79 ans,27.0
